PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
206548_WT,8655.0,93262.0147
226709_SV,57.0,470.7595
211667_GN,2210.0,9139.9368
215467_BK,7035.0,81583.7528
228009_BK,344.0,1822.2609
210219_GN,1106.0,11414.1174
217374_SV,55.0,799.4252
224266_HM,3723.0,27024.1358
220825_WT,4029.0,47553.4543
222075_BM,758.0,5699.0093
222478_BG,798.0,19680.8606
213704_BL,46.0,1122.5558
222290_BR,4237.0,65601.3893
210600_CA,880.0,16166.156
215482_EC,5998.0,42903.6421
209315_GD,3702.0,31887.1928
208687_TU,6368.0,148873.5688
213164_GY,146.0,3227.2909
223798_SV,1874.0,11685.0697
223407_BM,1459.0,11438.4566
214246_BL,7384.0,36884.5871
219316_BM,96.0,797.422
223708_HM,2846.0,20673.2145
219483_EC,4593.0,77156.9824
218369_HM,1217.0,8907.2727
217215_CA,2212.0,61041.1672
218344_RO,563.0,2759.5168
219765_IV,6733.0,31282.6745
205683_SV,4299.0,22339.6289
215623_RD,1329.0,40492.1328
211106_EC,1032.0,13963.7158
211501_BK,193.0,4865.6044
224811_HM,1430.0,17500.0441
206296_RD,5304.0,25252.4007
212008_HM,2788.0,25186.7715
214252_BK,8648.0,224236.6863
221116_GD,488.0,4772.2431
215924_IV,4159.0,23158.4562
210837_BM,4556.0,121387.4482
209175_GD,7355.0,41064.5496
223063_BK,5742.0,201470.8204
224739_BU,385.0,6094.6637
221039_WT,5163.0,28912.408
221140_WT,2436.0,18042.7254
202047_HM,4605.0,32794.2513
223899_RD,3923.0,29183.0089
224572_BK,425.0,3470.6745
225643_DM,71.0,1623.7614
209332_SV,4063.0,34012.7899
209264_GD,7295.0,40302.9609
226942_GD,10.0,111.8253
221438_BM,2485.0,36970.1782
210301_LL,6339.0,33475.751
222455_DM,3066.0,29175.8476
212960_BK,2781.0,26870.3739
211895_BM,2052.0,22396.0468
219325_SV,71.0,1036.8246
209331_SV,2168.0,14619.1686
223752_HM,1199.0,5903.245
212153_KK,189.0,4263.4803
170732_MI,3816.0,19017.5105
215541_GD,4647.0,19781.663
209567_GN,5405.0,92178.489
218914_PK,6757.0,121855.8989
215509_HM,2504.0,11706.9923
221066_SV,192.0,1970.9666
225653_BK,24.0,868.1664
219866_BL,1741.0,14830.0528
217360_AQ,6704.0,170595.6433
214119_BL,5716.0,31929.0561
218850NC,1290.0,16555.7085
219066_SV,790.0,4682.1695
223784_BG,3054.0,24053.919
217266_BK,1233.0,21017.5358
211878_SV,4024.0,16075.0508
215111_NV,2746.0,10555.1766
206212_BM,6527.0,35017.8758
210217_AQ,1199.0,8964.4782
215511_GD,4961.0,26524.8733
220697_BK,2733.0,56722.857
221600_LM,1495.0,29102.1189
210204_SV,774.0,9148.6257
216114_GD,15278.0,85195.8774
211899_BM,495.0,8956.7024
219026NC,5297.0,111548.2991
214702_BK,6715.0,183807.2196
218294_RO,1190.0,6805.4159
208693_BK,3946.0,76920.909
213885_HM,5838.0,28396.1929
209726_LL,2191.0,22464.6387
226899_FG,2220.0,25378.3905
224566_GD,3486.0,19800.0964
218381_RO,480.0,2926.0891
217635_SV,4443.0,19044.2748
212854_SV,3796.0,19473.2547
219050_EC,30.0,362.9912
220345NC,6157.0,121448.7517
221225_BM,4196.0,106395.0112
219323_RD,56.0,1212.2783
214594_GD,2531.0,10359.603
219313_GD,4017.0,87602.112
221857_EC,1928.0,48262.577
1914052HM,4665.0,26347.2336
217982_BL,6999.0,121541.9887
220860_WT,4022.0,30989.2507
218342_HM,1137.0,7751.935
212787_KK,9797.0,251861.2661
218620_BR,3184.0,70665.9142
222955_BK,2419.0,71142.0736
219359_MI,3162.0,22921.6644
218334_HM,637.0,3652.1939
219267_DM,4293.0,30634.7783
219489_BL,2181.0,50615.2658
211185_HM,3643.0,15611.0556
218935_GN,5420.0,37985.8129
217954_PM,4749.0,36852.7228
206045_EC,1744.0,19795.2537
223120_TG,2533.0,13829.0843
220344_KK,765.0,20886.6266
208952_BL,10199.0,168358.6325
210441_TB,20.0,140.1531
213704_KK,16958.0,425866.1048
223668_AN,132.0,3418.2135
218841_BK,16591.0,276497.8702
220870_WT,3099.0,17679.004
221904_BM,2898.0,15991.7843
207808_PK,4745.0,22060.0553
211619_GD,5019.0,49154.0704
210869_HM,3920.0,33774.4856
224203_BK,175.0,4497.2669
215959_GD,3395.0,45814.9753
215606_EC,9040.0,173609.4314
219976_BM,3405.0,37907.6496
213899_BM,3836.0,15522.3238
202032_HM,5582.0,21950.7499
212848_PE,725.0,4836.2903
217892_BM,3064.0,46140.5004
207560_NV,5365.0,97566.0051
208055_GN,1836.0,26198.0982
213198_BK,3901.0,52367.8287
210214_BL,787.0,7780.83
212221_RD,175.0,4483.6732
222708_RD,83.0,2270.297
209722_KK,4523.0,55040.4401
212787_OR,7825.0,191156.9597
203826_SV,17363.0,94902.3703
223318_OR,1577.0,14185.1208
224947_BN,919.0,30991.7591
211793_BK,1725.0,51174.4557
223549_TU,1552.0,53014.3837
218775_WT,1810.0,51598.6385
224901_BU,1839.0,50019.1282
216292_GD,2928.0,16148.6551
209629_LM,37.0,539.1102
224251_BU,1186.0,49769.6133
214981_BL,3676.0,64289.3403
210079_BG,12046.0,252428.9623
223102_BL,2461.0,89707.5924
218689_KK,8395.0,200764.7361
222817_KK,186.0,5013.2864
207181_GD,5927.0,31228.6508
219366_EC,3456.0,112995.2782
225189_SV,1046.0,10388.2813
216608_GN,1332.0,13756.7952
216577_EC,1956.0,22635.8559
200877_GD,21700.0,133344.7501
206577_GD,10287.0,267406.8207
211737_TQ,1178.0,4218.9722
222673_YL,59.0,1532.5956
